age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
35,blue-collar,married,tertiary,no,210,yes,no,cellular,5,mar,29,1,649,0,unknown,no
52,blue-collar,married,secondary,no,271,no,no,cellular,13,may,65,2,-1,1,unknown,no
44,technician,married,secondary,no,162,no,no,cellular,12,sep,943,1,-1,0,failure,yes
21,technician,divorced,tertiary,no,535,yes,yes,cellular,14,feb,404,2,32,0,unknown,no
44,services,single,secondary,no,1164,no,no,unknown,9,nov,219,4,-1,0,unknown,no
36,management,divorced,secondary,no,2788,yes,no,cellular,14,mar,264,2,-1,0,unknown,no
33,technician,married,secondary,no,-468,yes,no,cellular,10,jun,55,1,-1,0,unknown,no
47,unknown,divorced,secondary,no,2544,no,yes,cellular,16,jun,39,1,-1,0,failure,no
52,blue-collar,married,primary,no,-143,no,no,unknown,12,mar,108,1,-1,0,failure,no
51,technician,single,secondary,no,710,yes,yes,cellular,18,jun,19,5,-1,1,unknown,no
31,technician,married,secondary,no,254,no,no,cellular,13,apr,30,3,-1,0,unknown,no
37,entrepreneur,married,tertiary,no,542,yes,yes,cellular,27,jul,210,2,-1,0,unknown,no
44,blue-collar,divorced,primary,no,2940,yes,yes,cellular,20,oct,444,2,-1,0,failure,no
51,retired,married,secondary,no,653,yes,no,cellular,8,dec,106,10,188,1,unknown,no
35,blue-collar,divorced,secondary,no,2296,yes,no,cellular,31,sep,60,1,161,0,unknown,no
38,blue-collar,divorced,tertiary,no,850,no,no,unknown,10,jan,42,1,-1,0,failure,no
28,unknown,married,secondary,no,1808,yes,yes,cellular,8,feb,584,3,-1,1,unknown,no
27,management,single,primary,no,124,yes,no,unknown,4,apr,102,5,-1,0,unknown,no
49,management,married,secondary,no,485,yes,no,cellular,19,sep,65,2,-1,4,unknown,no
55,blue-collar,single,tertiary,no,1897,yes,no,cellular,9,oct,249,1,-1,0,failure,no
40,management,married,secondary,no,2517,yes,no,unknown,11,jan,392,5,-1,3,unknown,no
52,technician,married,secondary,no,1042,yes,no,unknown,22,apr,66,1,-1,2,unknown,no
44,blue-collar,divorced,secondary,no,20,yes,no,cellular,31,jul,525,4,510,0,unknown,no
33,entrepreneur,married,secondary,no,657,yes,no,cellular,25,nov,12,2,-1,0,unknown,no
44,blue-collar,married,secondary,no,2936,no,no,cellular,31,jan,49,3,-1,0,unknown,no
57,entrepreneur,single,tertiary,yes,312,no,yes,cellular,3,aug,181,1,-1,0,unknown,no
40,technician,married,secondary,no,670,no,no,cellular,23,apr,194,1,-1,0,unknown,no
58,blue-collar,married,secondary,no,7946,yes,no,telephone,26,jul,218,2,-1,0,unknown,no
18,admin.,married,secondary,no,1055,yes,no,unknown,5,feb,130,5,-1,1,failure,no
50,retired,married,tertiary,no,-253,yes,yes,telephone,22,aug,71,2,582,0,other,no
41,retired,single,secondary,no,160,no,yes,unknown,31,mar,267,1,213,1,failure,no
37,blue-collar,single,primary,no,2276,yes,no,cellular,24,nov,174,2,283,1,unknown,no
42,services,married,tertiary,no,627,no,yes,unknown,28,dec,10,4,-1,0,unknown,no
19,admin.,divorced,tertiary,no,2086,yes,no,unknown,21,nov,144,1,-1,0,unknown,no
38,entrepreneur,married,secondary,no,-2859,no,no,telephone,3,nov,578,1,427,0,unknown,no
44,blue-collar,married,secondary,no,1110,no,no,telephone,28,jul,202,1,-1,0,unknown,no
57,blue-collar,married,tertiary,no,-8000,no,no,cellular,25,jun,196,4,122,0,unknown,no
35,management,married,secondary,no,504,no,no,unknown,19,jul,29,1,-1,0,unknown,no
32,management,married,tertiary,no,2162,yes,no,unknown,29,nov,174,1,-1,0,unknown,no
35,admin.,married,tertiary,no,778,yes,no,cellular,14,jun,317,1,-1,0,unknown,no
51,admin.,single,secondary,no,1106,yes,no,cellular,4,apr,176,1,-1,0,unknown,no
44,services,single,secondary,no,293,yes,no,cellular,27,oct,370,5,-1,0,unknown,no
35,management,married,secondary,no,2160,yes,no,cellular,14,mar,1521,2,-1,0,unknown,yes
46,blue-collar,married,secondary,no,158,no,yes,cellular,28,feb,261,2,-1,0,unknown,no
42,blue-collar,single,tertiary,no,1134,no,no,unknown,21,mar,727,5,-1,1,failure,yes
51,student,married,secondary,no,5112,no,no,telephone,8,nov,259,1,-1,0,failure,yes
33,admin.,single,tertiary,no,141,yes,no,cellular,16,aug,1053,5,-1,3,failure,no
37,management,married,secondary,no,-569,yes,no,cellular,11,mar,45,3,-1,0,failure,no
36,entrepreneur,married,secondary,no,298,no,no,cellular,18,sep,91,1,-1,0,unknown,no
24,technician,married,unknown,no,1143,yes,no,unknown,4,feb,178,4,-1,1,unknown,no
44,technician,married,secondary,no,30,yes,no,cellular,30,jan,15,1,-1,5,unknown,yes
43,services,divorced,tertiary,no,3416,yes,no,cellular,20,apr,160,8,-1,1,unknown,no
41,management,single,tertiary,no,410,no,yes,unknown,16,apr,297,2,-1,1,unknown,yes
38,services,married,primary,no,1992,no,yes,unknown,5,jun,31,1,-1,0,unknown,no
25,services,married,secondary,no,5773,no,no,cellular,10,apr,106,1,574,0,unknown,no
36,blue-collar,married,tertiary,no,2439,yes,no,unknown,29,aug,157,2,-1,0,unknown,no
37,technician,married,secondary,no,3613,yes,yes,unknown,17,jun,70,1,-1,0,unknown,no
32,unknown,single,secondary,no,1843,yes,no,unknown,24,mar,434,4,-1,0,unknown,no
39,blue-collar,married,secondary,no,4739,yes,no,cellular,11,oct,185,4,-1,0,failure,no
45,technician,single,tertiary,no,-3617,yes,no,cellular,13,may,9,2,647,0,failure,no
61,management,single,tertiary,no,893,yes,yes,cellular,3,apr,135,2,689,0,unknown,no
42,management,divorced,primary,no,1603,yes,no,cellular,23,jan,249,3,368,0,unknown,no
43,management,married,tertiary,no,5119,yes,no,cellular,18,apr,79,2,139,0,unknown,no
40,blue-collar,married,tertiary,no,323,no,no,cellular,19,dec,232,1,-1,0,unknown,no
19,unemployed,married,primary,no,1513,yes,no,cellular,19,aug,81,1,-1,3,unknown,no
40,technician,single,tertiary,no,-259,yes,no,cellular,21,feb,258,9,-1,2,unknown,no
41,management,married,tertiary,no,1011,no,no,cellular,19,jul,167,2,-1,0,unknown,no
68,technician,married,secondary,no,-17,no,no,cellular,2,oct,57,1,-1,0,unknown,no
38,student,married,tertiary,no,964,no,no,cellular,16,nov,801,1,-1,0,unknown,no
44,blue-collar,married,tertiary,no,749,yes,no,unknown,6,jul,495,3,-1,0,unknown,no
40,blue-collar,married,secondary,no,-1411,yes,no,cellular,25,aug,281,6,-1,0,unknown,no
28,technician,married,tertiary,no,68,yes,no,cellular,2,dec,54,2,-1,0,failure,no
53,technician,married,tertiary,no,865,yes,yes,cellular,24,mar,264,1,-1,2,unknown,no
49,unknown,divorced,primary,no,220,no,no,unknown,20,apr,255,8,-1,0,unknown,no
49,admin.,married,tertiary,no,503,yes,no,unknown,19,sep,123,2,-1,0,unknown,no
30,retired,single,secondary,no,2195,yes,no,cellular,15,dec,63,2,-1,0,success,no
56,services,married,secondary,no,-78,no,no,cellular,16,dec,204,1,299,0,unknown,no
25,self-employed,married,primary,no,1089,no,no,cellular,27,feb,464,2,384,0,unknown,no
47,student,married,tertiary,no,1064,no,no,cellular,22,jul,72,3,-1,3,unknown,no
65,blue-collar,married,tertiary,no,-1521,yes,no,cellular,24,jul,169,2,-1,0,unknown,no
30,admin.,married,secondary,no,-1422,yes,no,cellular,26,jun,172,2,358,0,unknown,no
34,admin.,married,secondary,no,2348,no,no,cellular,9,feb,180,1,346,2,unknown,no
42,management,single,secondary,no,-885,yes,no,cellular,15,sep,45,1,-1,2,unknown,no
35,blue-collar,single,primary,no,-973,yes,yes,unknown,8,mar,535,1,51,3,unknown,yes
23,technician,single,secondary,no,235,yes,no,cellular,28,jun,277,2,-1,0,unknown,no
41,admin.,divorced,secondary,no,2911,yes,no,cellular,8,dec,138,3,-1,1,unknown,no
29,management,married,primary,no,-314,no,no,cellular,26,jan,102,1,365,0,unknown,no
46,unknown,married,primary,no,1231,yes,no,unknown,30,jun,854,1,709,1,unknown,no
30,management,single,secondary,no,133,yes,yes,cellular,24,apr,49,1,-1,0,unknown,no
58,blue-collar,divorced,tertiary,no,1559,yes,no,cellular,1,sep,83,2,-1,0,unknown,no
32,blue-collar,single,unknown,no,1027,yes,no,unknown,20,oct,95,1,-1,0,unknown,no
37,services,married,tertiary,no,329,no,yes,unknown,1,nov,89,2,-1,0,failure,no
49,admin.,married,primary,no,3110,yes,no,unknown,25,aug,482,1,-1,0,unknown,no
27,unknown,married,secondary,no,214,yes,no,cellular,13,dec,1032,1,-1,1,unknown,no
43,retired,married,tertiary,no,128,no,no,cellular,20,dec,56,5,109,1,unknown,yes
55,services,married,secondary,no,1552,no,no,cellular,4,mar,53,4,-1,1,failure,no
23,management,married,secondary,no,364,no,no,cellular,28,jul,459,1,-1,0,unknown,no
43,unknown,married,primary,no,-3568,yes,no,unknown,4,feb,236,4,-1,0,unknown,no
43,self-employed,single,secondary,no,170,yes,no,cellular,12,feb,95,2,-1,0,failure,no
49,services,married,secondary,no,2561,yes,no,cellular,29,jul,130,2,754,0,failure,no
27,technician,single,tertiary,no,2121,yes,yes,cellular,25,dec,197,4,-1,2,unknown,yes
26,technician,married,secondary,no,634,no,no,unknown,3,dec,233,1,4,0,unknown,no
46,admin.,married,unknown,no,-708,yes,no,cellular,11,aug,3,1,111,0,failure,no
44,blue-collar,married,tertiary,no,-1529,yes,no,cellular,4,jun,632,1,-1,1,unknown,no
43,blue-collar,married,secondary,no,548,no,no,cellular,27,apr,273,1,798,2,unknown,no
44,admin.,married,primary,no,8809,yes,no,unknown,15,feb,61,1,-1,0,unknown,no
33,technician,married,secondary,no,1986,yes,no,unknown,10,feb,230,3,-1,1,unknown,no
43,blue-collar,married,secondary,no,3058,no,no,unknown,16,jun,116,1,-1,0,unknown,no
44,entrepreneur,single,secondary,no,1843,no,no,unknown,13,jul,446,1,-1,0,unknown,no
33,admin.,married,primary,no,1070,yes,no,cellular,7,nov,47,3,-1,1,unknown,no
61,unknown,married,tertiary,no,8,no,yes,cellular,26,aug,52,4,-1,0,unknown,no
46,technician,married,secondary,no,103,no,no,unknown,13,jul,62,2,-1,0,unknown,yes
27,retired,single,tertiary,no,1134,yes,no,cellular,6,jun,685,12,-1,0,failure,no
48,technician,married,secondary,no,193,yes,yes,cellular,12,sep,170,3,-1,0,success,yes
30,technician,single,secondary,no,383,no,no,unknown,11,may,82,7,-1,0,unknown,no
49,services,single,secondary,no,1643,yes,no,cellular,2,feb,393,1,-1,0,unknown,no
53,blue-collar,married,tertiary,no,1209,yes,no,telephone,4,may,860,4,-1,1,unknown,yes
31,student,married,tertiary,no,-411,no,no,cellular,29,apr,231,1,869,0,failure,no
51,retired,married,secondary,no,-1187,yes,no,unknown,20,dec,111,3,-1,0,unknown,no
45,student,single,secondary,no,685,no,no,cellular,28,aug,441,1,-1,0,other,no
50,retired,married,tertiary,no,2403,no,no,unknown,3,apr,924,2,-1,0,other,yes
61,unknown,married,primary,no,-59,no,no,cellular,11,mar,18,2,840,0,unknown,no
38,services,divorced,secondary,no,1239,no,no,cellular,9,sep,40,1,-1,0,unknown,no
32,retired,divorced,primary,no,205,yes,no,unknown,15,aug,117,3,-1,0,unknown,no
31,technician,married,secondary,no,956,no,no,cellular,11,jul,340,1,-1,0,unknown,no
32,housemaid,single,secondary,no,442,no,yes,cellular,12,aug,171,2,-1,0,unknown,no
40,blue-collar,married,tertiary,no,473,no,no,cellular,8,aug,168,2,-1,1,unknown,no
44,management,divorced,secondary,no,-1001,yes,no,unknown,2,feb,217,1,-1,0,other,no
44,self-employed,divorced,tertiary,no,121,yes,no,cellular,26,apr,40,2,-1,0,unknown,yes
50,blue-collar,single,secondary,no,2322,no,no,unknown,29,sep,29,1,400,0,unknown,no
41,services,married,tertiary,no,-263,no,no,unknown,24,feb,460,3,-1,0,failure,yes
56,technician,married,secondary,no,41,yes,yes,unknown,9,apr,927,2,662,0,unknown,no
38,retired,married,tertiary,no,777,yes,no,cellular,25,apr,222,1,250,0,unknown,no
70,management,married,tertiary,no,1973,yes,no,unknown,20,oct,123,6,-1,0,unknown,no
47,blue-collar,divorced,secondary,no,-253,no,no,unknown,8,oct,427,2,-1,1,failure,no
31,unemployed,single,tertiary,no,985,yes,no,cellular,8,jan,496,4,500,1,unknown,no
29,technician,single,secondary,no,91,yes,no,cellular,28,sep,38,2,-1,0,unknown,yes
46,management,divorced,secondary,no,958,yes,no,cellular,16,aug,116,6,-1,0,failure,no
38,services,married,primary,no,2774,no,no,cellular,11,may,55,2,-1,0,unknown,no
48,blue-collar,married,primary,no,914,yes,no,cellular,2,jun,311,4,-1,0,unknown,yes
46,admin.,divorced,secondary,no,-7,no,no,cellular,4,mar,131,3,-1,0,unknown,no
40,blue-collar,married,primary,no,769,yes,no,unknown,11,jul,11,1,-1,0,unknown,no
31,admin.,married,secondary,no,582,yes,yes,unknown,8,jul,119,1,-1,5,unknown,no
24,management,married,secondary,no,-1712,no,no,unknown,20,jun,209,1,-1,1,unknown,no
36,services,married,secondary,yes,1222,yes,no,unknown,4,jan,422,2,-1,1,unknown,no
50,management,married,tertiary,no,1314,yes,yes,unknown,26,jun,305,8,-1,0,unknown,no
43,retired,married,primary,no,-1046,yes,no,cellular,17,sep,630,5,-1,0,unknown,no
27,admin.,divorced,tertiary,no,194,no,no,cellular,11,aug,60,2,-1,0,unknown,no
42,technician,divorced,secondary,no,173,yes,no,cellular,26,jun,3,1,94,0,unknown,no
45,admin.,married,primary,no,1331,yes,no,cellular,28,jul,735,5,-1,0,unknown,yes
31,services,married,primary,no,4088,yes,no,cellular,26,dec,338,2,-1,0,unknown,no
42,management,single,tertiary,yes,2323,no,no,cellular,16,oct,616,3,-1,0,success,yes
41,blue-collar,married,secondary,no,-2106,no,no,cellular,16,sep,231,1,-1,1,unknown,no
28,management,married,tertiary,no,545,no,no,unknown,24,mar,272,8,-1,0,unknown,no
44,technician,married,secondary,no,2790,no,no,cellular,12,mar,213,3,-1,0,unknown,no
47,management,married,primary,no,1314,no,no,cellular,10,apr,334,4,-1,1,failure,yes
52,entrepreneur,married,secondary,no,2116,yes,no,cellular,18,may,824,1,852,0,unknown,no
52,blue-collar,married,tertiary,no,1454,no,no,cellular,23,may,46,2,-1,0,failure,yes
25,self-employed,married,secondary,no,-1652,no,yes,cellular,19,mar,230,4,36,1,unknown,no
30,technician,divorced,secondary,no,-61,yes,no,cellular,9,apr,273,1,-1,2,unknown,no
46,retired,married,tertiary,no,816,yes,no,cellular,9,jun,110,1,-1,1,failure,no
46,blue-collar,married,primary,no,849,yes,no,cellular,28,feb,26,3,-1,1,unknown,no
46,services,married,secondary,no,383,no,no,cellular,1,jul,43,2,508,0,unknown,no
83,admin.,divorced,tertiary,no,2155,yes,no,unknown,22,aug,92,1,-1,0,unknown,no
47,technician,divorced,secondary,no,593,no,yes,unknown,28,oct,115,1,-1,0,unknown,no
53,unknown,divorced,secondary,no,688,yes,no,unknown,19,feb,124,1,-1,0,unknown,no
51,self-employed,married,secondary,no,-1425,no,no,telephone,26,jul,331,6,-1,2,unknown,no
48,technician,single,secondary,no,397,yes,no,cellular,25,oct,395,5,-1,0,unknown,no
37,admin.,divorced,secondary,no,-21,yes,no,telephone,23,oct,92,2,819,0,unknown,no
49,blue-collar,married,secondary,no,853,yes,no,unknown,19,feb,140,2,-1,0,unknown,no
32,blue-collar,single,primary,no,1658,no,no,cellular,29,sep,568,1,-1,0,unknown,no
38,technician,married,secondary,no,2381,yes,no,cellular,17,nov,262,3,-1,0,unknown,no
35,management,divorced,tertiary,no,1135,no,no,cellular,6,apr,13,1,418,0,unknown,no
41,entrepreneur,married,secondary,no,2821,no,no,cellular,20,feb,775,2,-1,0,unknown,yes
66,blue-collar,married,tertiary,no,3572,yes,no,unknown,16,oct,109,1,-1,0,unknown,no
20,technician,divorced,primary,no,-1054,yes,no,cellular,9,sep,13,1,-1,0,unknown,no
48,admin.,single,secondary,no,743,no,yes,cellular,13,aug,176,1,-1,1,unknown,no
23,blue-collar,single,secondary,no,-272,no,yes,unknown,19,apr,301,1,-1,0,unknown,no
35,blue-collar,single,secondary,no,1159,yes,no,cellular,30,jun,317,1,649,0,unknown,no
52,blue-collar,married,secondary,no,-104,no,no,cellular,12,aug,482,1,-1,0,unknown,no
41,blue-collar,married,primary,no,2424,no,yes,cellular,10,jan,190,1,846,0,unknown,no
29,management,married,tertiary,no,770,no,no,unknown,8,apr,44,4,-1,2,unknown,no
33,management,married,tertiary,no,1092,no,no,cellular,28,sep,672,2,-1,0,unknown,no
48,management,divorced,primary,no,-3043,no,no,unknown,21,nov,63,1,-1,0,unknown,no
32,student,married,secondary,no,292,no,yes,cellular,8,mar,246,2,-1,0,unknown,no
43,technician,married,primary,no,-3932,no,no,cellular,17,feb,646,1,-1,0,unknown,no
41,admin.,divorced,tertiary,no,292,yes,no,cellular,31,oct,43,6,-1,2,unknown,no
33,admin.,single,tertiary,no,-1179,no,no,cellular,8,aug,69,1,-1,0,unknown,no
64,blue-collar,single,secondary,no,-459,no,no,cellular,9,dec,158,1,-1,3,unknown,no
47,retired,married,primary,no,141,yes,no,cellular,6,mar,152,1,-1,1,unknown,no
18,admin.,married,tertiary,no,2064,yes,no,unknown,24,aug,48,2,-1,0,unknown,no
43,student,single,primary,no,3326,no,no,unknown,3,aug,297,4,-1,0,unknown,no
33,retired,divorced,tertiary,no,277,yes,yes,cellular,11,oct,262,1,-1,2,other,no
50,technician,married,secondary,no,2720,no,no,cellular,15,may,134,7,-1,0,unknown,no
32,entrepreneur,married,secondary,no,73,no,yes,unknown,9,mar,20,6,-1,0,unknown,no
39,management,married,secondary,no,668,no,no,cellular,28,jan,219,2,-1,0,unknown,no
46,technician,single,tertiary,no,2952,yes,no,cellular,14,nov,416,5,-1,3,success,yes
50,blue-collar,single,secondary,no,153,no,yes,cellular,13,mar,355,1,266,0,unknown,no
27,management,divorced,secondary,no,2591,no,no,cellular,5,feb,242,1,796,0,unknown,no
37,admin.,divorced,secondary,no,6,no,no,cellular,2,sep,142,3,-1,3,unknown,no
35,retired,divorced,unknown,no,-3012,no,no,unknown,10,jul,112,1,-1,0,unknown,yes
33,technician,married,secondary,no,757,no,no,telephone,22,aug,111,1,130,1,unknown,no
60,admin.,divorced,tertiary,no,973,no,yes,telephone,15,aug,88,2,-1,0,unknown,no
45,self-employed,married,secondary,no,484,yes,no,cellular,6,jan,39,3,-1,0,success,no
27,technician,single,tertiary,no,-208,no,no,cellular,25,feb,135,2,-1,0,unknown,no
51,management,divorced,secondary,no,2891,yes,no,unknown,13,feb,250,10,676,0,unknown,no
64,blue-collar,married,secondary,no,1825,yes,no,unknown,3,jul,3,2,98,0,unknown,no
52,unknown,single,secondary,no,290,yes,no,cellular,17,mar,149,1,-1,0,unknown,no
24,admin.,married,secondary,no,2129,no,no,cellular,30,apr,109,7,-1,4,unknown,no
35,blue-collar,married,secondary,no,3120,no,no,cellular,8,aug,194,1,-1,0,unknown,no
54,technician,married,tertiary,no,2252,no,no,unknown,22,aug,115,1,-1,2,unknown,no
33,blue-collar,divorced,secondary,no,155,no,no,cellular,13,nov,17,1,-1,0,unknown,no
45,technician,married,secondary,no,17,no,no,unknown,8,nov,441,1,-1,0,unknown,yes
49,blue-collar,married,tertiary,no,704,yes,no,unknown,23,jan,191,1,-1,0,unknown,no
30,technician,married,secondary,no,198,yes,yes,unknown,14,feb,217,1,233,0,unknown,no
40,services,married,tertiary,no,188,yes,no,cellular,31,jul,184,2,796,1,unknown,no
18,management,married,secondary,no,2862,no,no,unknown,1,apr,180,1,-1,0,unknown,no
29,management,married,secondary,no,1734,yes,no,unknown,18,jan,70,4,-1,3,unknown,no
38,blue-collar,married,secondary,no,883,yes,no,cellular,11,jun,114,4,-1,0,unknown,no
27,admin.,single,secondary,no,644,yes,no,cellular,20,jan,463,2,-1,0,unknown,no
58,student,single,secondary,no,297,no,no,unknown,31,aug,16,1,-1,0,unknown,no
25,technician,married,tertiary,no,2445,yes,no,cellular,23,feb,196,3,-1,1,unknown,no
36,student,single,secondary,no,1084,yes,no,cellular,11,jul,29,3,-1,0,unknown,no
42,unemployed,married,secondary,no,-4870,yes,no,unknown,24,jul,14,7,-1,1,unknown,no
56,technician,single,tertiary,no,13,yes,no,cellular,30,aug,990,1,376,0,unknown,no
25,technician,married,secondary,no,729,yes,no,cellular,26,jan,520,1,-1,0,unknown,no
53,technician,single,tertiary,no,-110,yes,yes,unknown,21,aug,620,5,-1,0,unknown,no
41,blue-collar,divorced,primary,no,3060,yes,no,cellular,6,apr,552,3,-1,0,unknown,no
30,technician,married,secondary,no,882,no,no,cellular,3,may,604,3,-1,0,unknown,no
46,technician,single,secondary,no,1311,no,no,cellular,20,sep,431,6,-1,1,unknown,no
43,blue-collar,single,secondary,no,-1789,yes,no,cellular,1,feb,472,1,-1,1,failure,no
34,unemployed,married,secondary,yes,541,yes,no,cellular,28,jun,272,3,-1,0,unknown,no
41,admin.,married,tertiary,no,1368,no,no,cellular,24,dec,283,2,-1,0,other,no
36,management,divorced,secondary,no,1688,no,no,cellular,22,sep,1019,1,-1,0,unknown,yes
42,admin.,divorced,secondary,no,376,yes,no,cellular,29,may,181,2,322,0,unknown,no
48,management,married,secondary,no,3273,yes,no,cellular,29,dec,64,3,-1,0,unknown,no
58,management,single,secondary,no,1396,yes,no,unknown,7,jul,2,2,536,0,unknown,no
27,services,divorced,tertiary,no,195,yes,no,cellular,27,may,75,1,815,0,unknown,no
64,technician,single,tertiary,no,486,no,no,unknown,4,jan,326,1,-1,0,unknown,no
19,technician,married,tertiary,no,-1151,yes,no,cellular,22,nov,230,3,-1,0,unknown,no
39,student,married,tertiary,no,557,yes,no,unknown,21,dec,853,3,-1,0,failure,no
47,admin.,single,secondary,no,1693,no,yes,telephone,28,oct,16,4,-1,0,unknown,no
44,management,single,tertiary,no,858,yes,no,unknown,7,apr,421,5,-1,1,unknown,no
34,technician,married,primary,no,1312,yes,yes,cellular,6,apr,58,3,-1,0,failure,no
38,services,married,secondary,no,804,yes,no,cellular,5,jan,290,2,783,3,unknown,yes
35,services,married,secondary,no,-1481,no,yes,cellular,2,aug,40,2,-1,1,unknown,no
34,blue-collar,married,primary,no,706,no,no,cellular,18,sep,301,1,-1,0,unknown,no
50,blue-collar,single,unknown,no,973,yes,no,cellular,24,oct,21,1,-1,1,unknown,no
44,unknown,divorced,tertiary,no,-161,no,yes,cellular,14,sep,953,6,-1,0,unknown,yes
33,technician,single,tertiary,no,-3435,yes,no,unknown,22,apr,452,4,-1,0,unknown,no
50,blue-collar,married,secondary,no,-854,yes,no,cellular,20,mar,154,3,-1,0,unknown,no
44,retired,single,primary,no,639,yes,no,cellular,1,jan,1022,2,-1,0,unknown,no
49,management,married,secondary,no,541,no,no,cellular,27,mar,169,4,-1,0,other,no
47,management,married,primary,no,1578,no,no,unknown,20,mar,115,2,-1,0,unknown,no
31,management,married,secondary,no,2065,yes,no,cellular,26,jul,354,1,-1,1,unknown,no
34,services,married,secondary,no,2027,yes,no,cellular,16,feb,306,1,-1,0,unknown,no
49,unknown,divorced,secondary,no,1385,yes,no,cellular,9,dec,410,1,-1,0,other,no
47,technician,single,primary,no,1145,yes,no,cellular,9,may,121,7,43,0,unknown,no
40,technician,married,secondary,no,-2596,no,no,cellular,15,sep,10,4,-1,0,unknown,no
42,services,married,tertiary,no,351,yes,no,cellular,21,aug,37,1,-1,0,unknown,no
55,admin.,single,secondary,no,923,no,no,cellular,7,mar,216,1,-1,0,unknown,no
